"Class","FriendlyName","InstanceId","Problem","ConfigManagerErrorCode","ProblemDescription","Caption","Description","InstallDate","Name","Status","Availability","ConfigManagerUserConfig","CreationClassName","DeviceID","ErrorCleared","ErrorDescription","LastErrorCode","PNPDeviceID","PowerManagementCapabilities","PowerManagementSupported","StatusInfo","SystemCreationClassName","SystemName","ClassGuid","CompatibleID","HardwareID","Manufacturer","PNPClass","Present","Service","PSComputerName"
"CDROM","ATA HL-DT-ST BD-RE  WH16NS40","SCSI\CDROM&VEN_HL-DT-ST&PROD_BD-RE__WH16NS40\4&18445F1F&0&030600","CM_PROB_NONE","CM_PROB_NONE",,"ATA HL-DT-ST BD-RE  WH16NS40","CD-ROM Drive",,"ATA HL-DT-ST BD-RE  WH16NS40","OK",,"False","Win32_PnPEntity","SCSI\CDROM&VEN_HL-DT-ST&PROD_BD-RE__WH16NS40\4&18445F1F&0&030600",,,,"SCSI\CDROM&VEN_HL-DT-ST&PROD_BD-RE__WH16NS40\4&18445F1F&0&030600",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e965-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","(Standard CD-ROM drives)","CDROM","True","cdrom",
"SCSIAdapter","Intel RST VMD Managed Controller 09AB","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&30","CM_PROB_NONE","CM_PROB_NONE",,"Intel RST VMD Managed Controller 09AB","Intel RST VMD Managed Controller 09AB",,"Intel RST VMD Managed Controller 09AB","OK",,"False","Win32_PnPEntity","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&30",,,,"PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&30",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97b-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Intel Corporation","SCSIAdapter","True",,
"SCSIAdapter","Intel RST VMD Managed Controller 09AB","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&B8","CM_PROB_NONE","CM_PROB_NONE",,"Intel RST VMD Managed Controller 09AB","Intel RST VMD Managed Controller 09AB",,"Intel RST VMD Managed Controller 09AB","OK",,"False","Win32_PnPEntity","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&B8",,,,"PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&B8",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97b-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Intel Corporation","SCSIAdapter","True",,
"SCSIAdapter","Intel RST VMD Managed Controller 09AB","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&D0","CM_PROB_NONE","CM_PROB_NONE",,"Intel RST VMD Managed Controller 09AB","Intel RST VMD Managed Controller 09AB",,"Intel RST VMD Managed Controller 09AB","OK",,"False","Win32_PnPEntity","PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&D0",,,,"PCI\VEN_8086&DEV_09AB&SUBSYS_00000000&REV_00\3&11583659&0&D0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97b-e325-11ce-bfc1-08002be10318}","System.String[]","System.String[]","Intel Corporation","SCSIAdapter","True",,
"Net","Hyper-V Virtual Switch Extension Adapter","ROOT\VMS_VSMP\0000","CM_PROB_NONE","CM_PROB_NONE",,"Hyper-V Virtual Switch Extension Adapter","Hyper-V Virtual Switch Extension Adapter",,"Hyper-V Virtual Switch Extension Adapter","OK",,"False","Win32_PnPEntity","ROOT\VMS_VSMP\0000",,,,"ROOT\VMS_VSMP\0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e972-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","Net","True","VMSMP",
"Net","Hyper-V Virtual Switch Extension Adapter #2","ROOT\VMS_VSMP\0001","CM_PROB_NONE","CM_PROB_NONE",,"Hyper-V Virtual Switch Extension Adapter #2","Hyper-V Virtual Switch Extension Adapter",,"Hyper-V Virtual Switch Extension Adapter #2","OK",,"False","Win32_PnPEntity","ROOT\VMS_VSMP\0001",,,,"ROOT\VMS_VSMP\0001",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e972-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","Net","True","VMSMP",
"Net","Cisco AnyConnect Virtual Miniport Adapter for Windows x64","ROOT\NET\0000","CM_PROB_DISABLED","CM_PROB_DISABLED","","Cisco AnyConnect Virtual Miniport Adapter for Windows x64","Cisco AnyConnect Virtual Miniport Adapter for Windows x64",,"Cisco AnyConnect Virtual Miniport Adapter for Windows x64","Error",,"False","Win32_PnPEntity","ROOT\NET\0000",,,,"ROOT\NET\0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e972-e325-11ce-bfc1-08002be10318}",,"System.String[]","Cisco Systems","Net","True","vpnva",
"Net","VirtualBox Host-Only Ethernet Adapter","ROOT\NET\0001","CM_PROB_NONE","CM_PROB_NONE",,"VirtualBox Host-Only Ethernet Adapter","VirtualBox Host-Only Ethernet Adapter",,"VirtualBox Host-Only Ethernet Adapter","OK",,"False","Win32_PnPEntity","ROOT\NET\0001",,,,"ROOT\NET\0001",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e972-e325-11ce-bfc1-08002be10318}",,"System.String[]","Oracle Corporation","Net","True","VBoxNetAdp",
"System","ACPI Thermal Zone","ACPI\THERMALZONE\TZ00","CM_PROB_NONE","CM_PROB_NONE",,"ACPI Thermal Zone","ACPI Thermal Zone",,"ACPI Thermal Zone","OK",,"False","Win32_PnPEntity","ACPI\THERMALZONE\TZ00",,,,"ACPI\THERMALZONE\TZ00",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","(Standard system devices)","System","True",,
"System","UMBus Enumerator","UMB\UMB\1&841921D&0&TERMINPUT_BUS","CM_PROB_NONE","CM_PROB_NONE",,"UMBus Enumerator","UMBus Enumerator",,"UMBus Enumerator","OK",,"False","Win32_PnPEntity","UMB\UMB\1&841921D&0&TERMINPUT_BUS",,,,"UMB\UMB\1&841921D&0&TERMINPUT_BUS",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","System","True","umbus",
"System","Microsoft Windows Management Interface for ACPI","ACPI\PNP0C14\DSARDEV","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft Windows Management Interface for ACPI","Microsoft Windows Management Interface for ACPI",,"Microsoft Windows Management Interface for ACPI","OK",,"False","Win32_PnPEntity","ACPI\PNP0C14\DSARDEV",,,,"ACPI\PNP0C14\DSARDEV",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{4d36e97d-e325-11ce-bfc1-08002be10318}",,"System.String[]","Microsoft","System","True","WmiAcpi",
"WPD","Case_Drive_1","SWD\WPDBUSENUM\{EA6B284C-D40A-11EE-841D-F0D415358F58}#0000000001000000","CM_PROB_NONE","CM_PROB_NONE",,"Case_Drive_1","M001-2JD101     ",,"Case_Drive_1","OK",,"False","Win32_PnPEntity","SWD\WPDBUSENUM\{EA6B284C-D40A-11EE-841D-F0D415358F58}#0000000001000000",,,,"SWD\WPDBUSENUM\{EA6B284C-D40A-11EE-841D-F0D415358F58}#0000000001000000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{eec5ad98-8080-425f-922a-dabf3de3f69a}","System.String[]",,"ST12000D","WPD","True","WUDFWpdFs",
"Firmware","Device Firmware","UEFI\RES_{86A885EE-D71E-2ED6-0FC1-9D6CCC9677EB}\0","CM_PROB_NONE","CM_PROB_NONE",,"Device Firmware","Device Firmware",,"Device Firmware","OK",,"False","Win32_PnPEntity","UEFI\RES_{86A885EE-D71E-2ED6-0FC1-9D6CCC9677EB}\0",,,,"UEFI\RES_{86A885EE-D71E-2ED6-0FC1-9D6CCC9677EB}\0",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{f2e7dd72-6468-4e36-b6f1-6488f42c1b52}","System.String[]","System.String[]","Microsoft","Firmware","True",,
"HIDClass","HID-compliant system controller","HID\VID_046D&PID_C33E&MI_01&COL03\8&319C633C&0&0002","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant system controller","HID-compliant system controller",,"HID-compliant system controller","OK",,"False","Win32_PnPEntity","HID\VID_046D&PID_C33E&MI_01&COL03\8&319C633C&0&0002",,,,"HID\VID_046D&PID_C33E&MI_01&COL03\8&319C633C&0&0002",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
"PrintQueue","OneNote (Desktop)","SWD\PRINTENUM\{13DAB6FB-07DC-4700-B120-2F2767068CA7}","CM_PROB_NONE","CM_PROB_NONE",,"OneNote (Desktop)","Local Print Queue",,"OneNote (Desktop)","OK",,"False","Win32_PnPEntity","SWD\PRINTENUM\{13DAB6FB-07DC-4700-B120-2F2767068CA7}",,,,"SWD\PRINTENUM\{13DAB6FB-07DC-4700-B120-2F2767068CA7}",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{1ed2bbf9-11f0-4084-b21f-ad83a8e6dcdc}","System.String[]","System.String[]","Microsoft","PrintQueue","True",,
"AudioEndpoint","Headset (Stark Hands-Free)","SWD\MMDEVAPI\{0.0.0.00000000}.{4AE7101C-FB4E-44A1-BBF6-0FBD0B884F42}","CM_PROB_NONE","CM_PROB_NONE",,"Headset (Stark Hands-Free)","Audio Endpoint",,"Headset (Stark Hands-Free)","OK",,"False","Win32_PnPEntity","SWD\MMDEVAPI\{0.0.0.00000000}.{4AE7101C-FB4E-44A1-BBF6-0FBD0B884F42}",,,,"SWD\MMDEVAPI\{0.0.0.00000000}.{4AE7101C-FB4E-44A1-BBF6-0FBD0B884F42}",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{c166523c-fe0c-4a94-a586-f1a80cfbbf3e}","System.String[]","System.String[]","Microsoft","AudioEndpoint","True",,
"SoftwareDevice","Microsoft RRAS Root Enumerator","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}","CM_PROB_NONE","CM_PROB_NONE",,"Microsoft RRAS Root Enumerator","Generic software device",,"Microsoft RRAS Root Enumerator","OK",,"False","Win32_PnPEntity","SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}",,,,"SWD\MSRRAS\{5E259276-BC7E-40E3-B93B-8F89B5F3ABC0}",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{62f9c741-b25a-46ce-b54c-9bccce08b6f2}","System.String[]",,"Microsoft","SoftwareDevice","True",,
"HIDClass","HID-compliant vendor-defined device","HID\VID_046D&PID_C53F&MI_02&COL01\8&35BF608D&0&0000","CM_PROB_NONE","CM_PROB_NONE",,"HID-compliant vendor-defined device","HID-compliant vendor-defined device",,"HID-compliant vendor-defined device","OK",,"False","Win32_PnPEntity","HID\VID_046D&PID_C53F&MI_02&COL01\8&35BF608D&0&0000",,,,"HID\VID_046D&PID_C53F&MI_02&COL01\8&35BF608D&0&0000",,,,"Win32_ComputerSystem","MAS-4N6-BOX","{745a17a0-74d3-11d0-b6fe-00a0c90f57da}",,"System.String[]","(Standard system devices)","HIDClass","True",,
